               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.048091,             0.01275,            0.026044,             0.79757,                   1,               0.995,             0.53662,            0.040151,           0.0061419,            0.011072,           0.0070696,           0.0070696,           0.0070696
                  76,            0.048021,            0.015852,            0.025995,             0.79757,                   1,               0.995,             0.53662,            0.040151,           0.0061419,            0.011072,             0.00703,             0.00703,             0.00703
                  77,            0.047976,            0.014186,            0.025189,             0.95611,                   1,               0.995,             0.43524,            0.033892,             0.00625,            0.010669,           0.0069904,           0.0069904,           0.0069904
                  78,            0.042907,            0.015379,            0.025524,             0.95611,                   1,               0.995,             0.43524,            0.033892,             0.00625,            0.010669,           0.0069508,           0.0069508,           0.0069508
                  79,            0.042456,            0.015777,            0.025163,             0.70539,             0.94406,             0.91167,             0.35719,            0.033395,           0.0064524,            0.010543,           0.0069112,           0.0069112,           0.0069112
                  80,            0.046017,            0.012401,            0.024051,             0.70539,             0.94406,             0.91167,             0.35719,            0.033395,           0.0064524,            0.010543,           0.0068716,           0.0068716,           0.0068716
                  81,            0.047833,            0.013063,            0.022637,             0.69049,             0.96507,             0.91167,             0.36383,            0.040997,           0.0062991,            0.010623,            0.006832,            0.006832,            0.006832
                  82,             0.04228,             0.01278,            0.024429,             0.69049,             0.96507,             0.91167,             0.36383,            0.040997,           0.0062991,            0.010623,           0.0067924,           0.0067924,           0.0067924
                  83,            0.044028,            0.013683,            0.025052,             0.53617,             0.94979,             0.91167,             0.70467,            0.039027,           0.0065959,            0.010276,           0.0067528,           0.0067528,           0.0067528
                  84,             0.04991,            0.012858,            0.022889,             0.53617,             0.94979,             0.91167,             0.70467,            0.039027,           0.0065959,            0.010276,           0.0067132,           0.0067132,           0.0067132
                  85,            0.049772,            0.013299,            0.023851,             0.70965,             0.96951,             0.74625,              0.3814,             0.03262,           0.0062815,            0.010163,           0.0066736,           0.0066736,           0.0066736
                  86,            0.041127,            0.013529,            0.024366,             0.70965,             0.96951,             0.74625,              0.3814,             0.03262,           0.0062815,            0.010163,            0.006634,            0.006634,            0.006634
                  87,            0.043557,            0.010985,            0.022898,             0.59096,             0.96376,             0.91167,              0.5325,            0.034555,           0.0061487,           0.0091734,           0.0065944,           0.0065944,           0.0065944
                  88,            0.040389,            0.014249,            0.022369,             0.59096,             0.96376,             0.91167,              0.5325,            0.034555,           0.0061487,           0.0091734,           0.0065548,           0.0065548,           0.0065548
                  89,            0.043509,            0.011852,            0.021107,             0.82635,                0.75,             0.91167,              0.3331,            0.028948,           0.0060381,           0.0091077,           0.0065152,           0.0065152,           0.0065152
                  90,            0.040434,            0.010827,            0.020327,             0.82635,                0.75,             0.91167,              0.3331,            0.028948,           0.0060381,           0.0091077,           0.0064756,           0.0064756,           0.0064756
                  91,             0.04054,            0.013202,            0.021943,             0.54393,              0.9888,             0.91167,             0.49334,            0.029655,           0.0058971,           0.0077916,            0.006436,            0.006436,            0.006436
                  92,             0.04364,            0.011853,            0.019928,             0.54393,              0.9888,             0.91167,             0.49334,            0.029655,           0.0058971,           0.0077916,           0.0063964,           0.0063964,           0.0063964
                  93,            0.043342,            0.012654,            0.019854,              0.6641,                0.75,             0.91167,             0.44197,             0.02702,           0.0057742,           0.0076679,           0.0063568,           0.0063568,           0.0063568
                  94,            0.037911,            0.011945,              0.0194,              0.6641,                0.75,             0.91167,             0.44197,             0.02702,           0.0057742,           0.0076679,           0.0063172,           0.0063172,           0.0063172
                  95,             0.04066,            0.012498,            0.021155,             0.52997,             0.97066,             0.91167,             0.64673,            0.034192,           0.0056948,           0.0066689,           0.0062776,           0.0062776,           0.0062776
                  96,            0.042543,            0.012497,            0.020674,             0.52997,             0.97066,             0.91167,             0.64673,            0.034192,           0.0056948,           0.0066689,            0.006238,            0.006238,            0.006238
                  97,            0.041789,            0.011531,            0.019365,             0.71241,             0.95653,               0.995,             0.32036,            0.037534,           0.0058793,           0.0055593,           0.0061984,           0.0061984,           0.0061984
                  98,            0.045552,            0.011193,            0.017695,             0.71241,             0.95653,               0.995,             0.32036,            0.037534,           0.0058793,           0.0055593,           0.0061588,           0.0061588,           0.0061588
                  99,            0.045686,            0.011779,            0.018016,             0.77417,             0.88567,               0.995,             0.56677,            0.024405,           0.0056285,           0.0051431,           0.0061192,           0.0061192,           0.0061192
                 100,            0.042003,            0.012099,            0.021597,             0.77417,             0.88567,               0.995,             0.56677,            0.024405,           0.0056285,           0.0051431,           0.0060796,           0.0060796,           0.0060796
                 101,            0.040783,            0.012568,            0.017021,             0.71156,                   1,               0.995,             0.67898,            0.031164,           0.0054979,           0.0047477,             0.00604,             0.00604,             0.00604
                 102,            0.035488,             0.01102,              0.0162,             0.71156,                   1,               0.995,             0.67898,            0.031164,           0.0054979,           0.0047477,           0.0060004,           0.0060004,           0.0060004
                 103,            0.036875,            0.010039,            0.019458,             0.52569,                   1,             0.91167,             0.51765,            0.031702,           0.0055317,           0.0045231,           0.0059608,           0.0059608,           0.0059608
                 104,             0.03813,              0.0142,            0.019476,             0.52569,                   1,             0.91167,             0.51765,            0.031702,           0.0055317,           0.0045231,           0.0059212,           0.0059212,           0.0059212
                 105,            0.040301,            0.012847,             0.01665,             0.59123,                   1,               0.995,             0.47889,            0.029958,           0.0058194,           0.0043417,           0.0058816,           0.0058816,           0.0058816
                 106,            0.038863,            0.010881,            0.016299,             0.59123,                   1,               0.995,             0.47889,            0.029958,           0.0058194,           0.0043417,            0.005842,            0.005842,            0.005842
                 107,             0.03973,            0.011519,            0.018699,             0.77521,                   1,               0.995,             0.52914,             0.02403,           0.0055241,            0.004225,           0.0058024,           0.0058024,           0.0058024
                 108,            0.034567,            0.010864,            0.017982,             0.77521,                   1,               0.995,             0.52914,             0.02403,           0.0055241,            0.004225,           0.0057628,           0.0057628,           0.0057628
                 109,            0.036184,            0.012286,            0.019749,             0.49625,                   1,               0.995,             0.57235,            0.028325,           0.0054883,           0.0041464,           0.0057232,           0.0057232,           0.0057232
                 110,            0.037053,            0.011633,             0.01868,             0.49625,                   1,               0.995,             0.57235,            0.028325,           0.0054883,           0.0041464,           0.0056836,           0.0056836,           0.0056836
                 111,            0.035634,            0.010949,            0.012649,             0.77677,                   1,               0.995,               0.647,            0.020002,           0.0051527,            0.004047,            0.005644,            0.005644,            0.005644
                 112,            0.036255,            0.011213,             0.01676,             0.77677,                   1,               0.995,               0.647,            0.020002,           0.0051527,            0.004047,           0.0056044,           0.0056044,           0.0056044
                 113,            0.039429,            0.013564,             0.01846,             0.63173,                   1,               0.995,             0.64692,            0.026578,           0.0053041,           0.0039343,           0.0055648,           0.0055648,           0.0055648
                 114,            0.034629,            0.010311,            0.012034,             0.63173,                   1,               0.995,             0.64692,            0.026578,           0.0053041,           0.0039343,           0.0055252,           0.0055252,           0.0055252
                 115,            0.036908,            0.011865,             0.01946,             0.73495,                   1,               0.995,             0.65499,            0.021845,           0.0049558,           0.0038482,           0.0054856,           0.0054856,           0.0054856
                 116,            0.034326,            0.011464,             0.01588,             0.73495,                   1,               0.995,             0.65499,            0.021845,           0.0049558,           0.0038482,            0.005446,            0.005446,            0.005446
                 117,            0.034638,            0.012767,            0.014736,             0.72547,                   1,               0.995,             0.63205,             0.02368,           0.0050558,           0.0037365,           0.0054064,           0.0054064,           0.0054064
                 118,            0.034623,            0.012502,            0.014446,             0.72547,                   1,               0.995,             0.63205,             0.02368,           0.0050558,           0.0037365,           0.0053668,           0.0053668,           0.0053668
                 119,            0.032924,            0.013068,            0.013201,              0.7813,                   1,               0.995,             0.61696,            0.019534,            0.004873,           0.0036418,           0.0053272,           0.0053272,           0.0053272
                 120,            0.036748,            0.011034,             0.01691,              0.7813,                   1,               0.995,             0.61696,            0.019534,            0.004873,           0.0036418,           0.0052876,           0.0052876,           0.0052876
                 121,            0.032894,            0.010963,            0.013847,             0.97313,                   1,               0.995,             0.67186,            0.020443,           0.0048027,           0.0035284,            0.005248,            0.005248,            0.005248
                 122,            0.032915,            0.010961,            0.014037,             0.97313,                   1,               0.995,             0.67186,            0.020443,           0.0048027,           0.0035284,           0.0052084,           0.0052084,           0.0052084
                 123,            0.031274,            0.010352,            0.014859,             0.96967,                   1,               0.995,             0.77147,            0.018676,           0.0047578,           0.0034641,           0.0051688,           0.0051688,           0.0051688
                 124,            0.033795,            0.013224,            0.016379,             0.96967,                   1,               0.995,             0.77147,            0.018676,           0.0047578,           0.0034641,           0.0051292,           0.0051292,           0.0051292
                 125,            0.033438,            0.010448,             0.01491,             0.94169,                   1,               0.995,             0.66364,            0.019719,           0.0047288,           0.0033935,           0.0050896,           0.0050896,           0.0050896
                 126,            0.035456,            0.010968,            0.012775,             0.94169,                   1,               0.995,             0.66364,            0.019719,           0.0047288,           0.0033935,             0.00505,             0.00505,             0.00505
                 127,            0.035169,            0.010061,             0.01469,             0.93466,                   1,               0.995,             0.50422,            0.024007,           0.0048735,           0.0033557,           0.0050104,           0.0050104,           0.0050104
                 128,             0.03504,           0.0099974,            0.012562,             0.93466,                   1,               0.995,             0.50422,            0.024007,           0.0048735,           0.0033557,           0.0049708,           0.0049708,           0.0049708
